TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
Entre 26 e 30 anos,F,Preta,Brasileiro(a),2009,Não Respondeu,4202404,42,SC,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 31 e 35 anos,F,Parda,Brasileiro(a),2017,Não Respondeu,3552205,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,A
24 anos,F,Parda,Brasileiro(a),2014,Não Respondeu,3118304,31,MG,Presente,Presente,Presente,Presente,522.3,605.4,527.9,738.9,620.0,B
20 anos,F,Parda,Brasileiro(a),Não informado,Pública,2909901,29,BA,Presente,Presente,Presente,Presente,358.3,383.3,462.7,380.0,520.0,C
18 anos,F,Parda,Brasileiro(a),Não informado,Pública,2932408,29,BA,Presente,Presente,Presente,Presente,432.6,504.5,480.9,458.9,840.0,A
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2921500,29,BA,Presente,Presente,Presente,Presente,504.8,473.8,564.3,545.3,660.0,I
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,2305407,23,CE,Presente,Presente,Presente,Presente,435.0,419.1,514.9,462.7,860.0,A
19 anos,F,Branca,Brasileiro(a),Não informado,Pública,4315602,43,RS,Presente,Presente,Presente,Presente,472.8,409.2,473.4,433.2,540.0,D
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,4205001,42,SC,Presente,Presente,Presente,Presente,465.7,432.1,534.8,620.8,540.0,H
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,3200409,32,ES,Presente,Presente,Presente,Presente,547.4,628.8,583.8,633.5,840.0,F
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,4307005,43,RS,Presente,Presente,Presente,Presente,702.8,754.2,664.5,871.6,900.0,L
19 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,2211209,22,PI,Presente,Presente,Presente,Presente,413.8,488.7,330.8,521.3,560.0,A
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,4106902,41,PR,Presente,Presente,Presente,Presente,366.6,442.3,490.6,433.0,600.0,J
18 anos,F,Branca,Brasileiro(a),2020,Não Respondeu,3146107,31,MG,Presente,Presente,Presente,Presente,540.5,660.7,317.8,623.7,940.0,O
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3550308,35,SP,Presente,Presente,Presente,Presente,694.0,677.3,637.3,798.5,880.0,Q
